Title: The Star Formation Histories of Local Group Dwarf Galaxies I. 
       Hubble Space Telescope / Wide Field Planetary Camera 2 Observations 
Authors: Weisz D.R., Dolphin A.E., Skillman E.D., Holtzman J., 
         Gilbert K.M., Dalcanton J.J., Williams B.F. 
Table: Star Formation Histories of each WFPC2 Field
================================================================================
Byte-by-byte Description of file: apj495810t5_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units       Label     Explanations
--------------------------------------------------------------------------------
   1-  17 A17    ---         ID        Galaxy identifier
  19-  24 A6     ---         Field     Field identifier
  26-  31 F6.3   10+6solMass TMass     Total mass formed (1)
 858- 861 F4.2   [yr]        f8.3      Mass fraction formed prior to log(t) = 8.3
                                        from best fit SFH (2)
 863- 865 F3.1   [yr]        Urf8.3    Random uncertainty 84th percentile in f8.3
 867- 870 F4.2   [yr]        Utf8.3    Total uncertainty 84th percentile in f8.3
 872- 875 F4.2   [yr]        Lrf8.3    Random uncertainty 16th percentile in f8.3
 877- 880 F4.2   [yr]        Ltf8.3    Total uncertainty 16th percentile in f8.3
 882- 885 F4.2   [yr]        f8.2      Mass fraction formed prior to log(t) = 8.2
                                        from best fit SFH (2)
 887- 889 F3.1   [yr]        Urf8.2    Random uncertainty 84th percentile in f8.2
 891- 894 F4.2   [yr]        Utf8.2    Total uncertainty 84th percentile in f8.2
 896- 899 F4.2   [yr]        Lrf8.2    Random uncertainty 16th percentile in f8.2
 901- 904 F4.2   [yr]        Ltf8.2    Total uncertainty 16th percentile in f8.2
 906- 909 F4.2   [yr]        f8.1      Mass fraction formed prior to log(t) = 8.1
                                        from best fit SFH (2)
 911- 913 F3.1   [yr]        Urf8.1    Random uncertainty 84th percentile in f8.1
 915- 918 F4.2   [yr]        Utf8.1    Total uncertainty 84th percentile in f8.1
 920- 923 F4.2   [yr]        Lrf8.1    Random uncertainty 16th percentile in f8.1
 925- 928 F4.2   [yr]        Ltf8.1    Total uncertainty 16th percentile in f8.1
 930- 933 F4.2   [yr]        f8.0      Mass fraction formed prior to log(t) = 8.0
                                        from best fit SFH (2)
 935- 937 F3.1   [yr]        Urf8.0    Random uncertainty 84th percentile in f8.0
 939- 942 F4.2   [yr]        Utf8.0    Total uncertainty 84th percentile in f8.0
 944- 947 F4.2   [yr]        Lrf8.0    Random uncertainty 16th percentile in f8.0
 949- 952 F4.2   [yr]        Ltf8.0    Total uncertainty 16th percentile in f8.0
 954- 957 F4.2   [yr]        f7.9      Mass fraction formed prior to log(t) = 7.9
                                        from best fit SFH (2)
 959- 961 F3.1   [yr]        Urf7.9    Random uncertainty 84th percentile in f7.9
 963- 966 F4.2   [yr]        Utf7.9    Total uncertainty 84th percentile in f7.9
 968- 971 F4.2   [yr]        Lrf7.9    Random uncertainty 16th percentile in f7.9
 973- 976 F4.2   [yr]        Ltf7.9    Total uncertainty 16th percentile in f7.9
 978- 981 F4.2   [yr]        f7.8      Mass fraction formed prior to log(t) = 7.8
                                        from best fit SFH (2)
 983- 985 F3.1   [yr]        Urf7.8    Random uncertainty 84th percentile in f7.8
 987- 990 F4.2   [yr]        Utf7.8    Total uncertainty 84th percentile in f7.8
 992- 995 F4.2   [yr]        Lrf7.8    Random uncertainty 16th percentile in f7.8
 997-1000 F4.2   [yr]        Ltf7.8    Total uncertainty 16th percentile in f7.8
1002-1005 F4.2   [yr]        f7.7      Mass fraction formed prior to log(t) = 7.7
                                         from best fit SFH (2)
1007-1009 F3.1   [yr]        Urf7.7    Random uncertainty 84th percentile in f7.7
1011-1014 F4.2   [yr]        Utf7.7    Total uncertainty 84th percentile in f7.7
1016-1019 F4.2   [yr]        Lrf7.7    Random uncertainty 16th percentile in f7.7
1021-1024 F4.2   [yr]        Ltf7.7    Total uncertainty 16th percentile in f7.7
1026-1029 F4.2   [yr]        f7.6      Mass fraction formed prior to log(t) = 7.6
                                         from best fit SFH (2)
1031-1034 F4.2   [yr]        Urf7.6    Random uncertainty 84th percentile in f7.6
1036-1039 F4.2   [yr]        Utf7.6    Total uncertainty 84th percentile in f7.6
1041-1044 F4.2   [yr]        Lrf7.6    Random uncertainty 16th percentile in f7.6
1046-1049 F4.2   [yr]        Ltf7.6    Total uncertainty 16th percentile in f7.6
1051-1054 F4.2   [yr]        f7.5      Mass fraction formed prior to log(t) = 7.5
                                         from best fit SFH (2)
1056-1058 F3.1   [yr]        Urf7.5    Random uncertainty 84th percentile in f7.5
1060-1063 F4.2   [yr]        Utf7.5    Total uncertainty 84th percentile in f7.5
1065-1068 F4.2   [yr]        Lrf7.5    Random uncertainty 16th percentile in f7.5
1070-1073 F4.2   [yr]        Ltf7.5    Total uncertainty 16th percentile in f7.5
1075-1078 F4.2   [yr]        f7.4      Mass fraction formed prior to log(t) = 7.4
                                         from best fit SFH (2)
1080-1082 F3.1   [yr]        Urf7.4    Random uncertainty 84th percentile in f7.4
1084-1087 F4.2   [yr]        Utf7.4    Total uncertainty 84th percentile in f7.4
1089-1092 F4.2   [yr]        Lrf7.4    Random uncertainty 16th percentile in f7.4
1094-1097 F4.2   [yr]        Ltf7.4    Total uncertainty 16th percentile in f7.4
1099-1102 F4.2   [yr]        f7.3      Mass fraction formed prior to log(t) = 7.3
                                         from best fit SFH (2)
1104-1106 F3.1   [yr]        Urf7.3    Random uncertainty 16th percentile in f7.3
1108-1111 F4.2   [yr]        Utf7.3    Total uncertainty 84th percentile in f7.3
1113-1116 F4.2   [yr]        Lrf7.3    Random uncertainty 16th percentile in f7.3
1118-1121 F4.2   [yr]        Ltf7.3    Total uncertainty 16th percentile in f7.3
1123-1126 F4.2   [yr]        f7.2      Mass fraction formed prior to log(t) = 7.2
                                         from best fit SFH (2)
1128-1130 F3.1   [yr]        Urf7.2    Random uncertainty 84th percentile in f7.2
1132-1135 F4.2   [yr]        Utf7.2    Total uncertainty 84th percentile in f7.2
1137-1140 F4.2   [yr]        Lrf7.2    Random uncertainty 16th percentile in f7.2
1142-1145 F4.2   [yr]        Ltf7.2    Total uncertainty 16th percentile in f7.2
1147-1150 F4.2   [yr]        f7.1      Mass fraction formed prior to log(t) = 7.1
                                         from best fit SFH (2)
1152-1154 F3.1   [yr]        Urf7.1    Random uncertainty 84th percentile in f7.1
1156-1159 F4.2   [yr]        Utf7.1    Total uncertainty 84th percentile in f7.1
1161-1164 F4.2   [yr]        Lrf7.1    Random uncertainty 16th percentile in f7.1
1166-1169 F4.2   [yr]        Ltf7.1    Total uncertainty 16th percentile in f7.1
1171-1174 F4.2   [yr]        f7.0      Mass fraction formed prior to log(t) = 7.0
                                         from best fit SFH (2)
1176-1178 F3.1   [yr]        Urf7.0    Random uncertainty 84th percentile in f7.0
1180-1183 F4.2   [yr]        Utf7.0    Total uncertainty 84th percentile in f7.0
1185-1188 F4.2   [yr]        Lrf7.0    Random uncertainty 16th percentile in f7.0
1190-1193 F4.2   [yr]        Ltf7.0    Total uncertainty 16th percentile in f7.0
